text,weight,degree,closeness,betweenness,eigenvector,katz,average,naverage,pca1,pca2
細く書ける,1.0,0.0136986301369863,0.015410958904109588,0.0001889466225791214,7.974077980870854e-24,0.07476561657872649,0.18401069204,0.032995818965219664,-0.29751695818,-0.0503764187115
図・グラフが書きやすい,1.0,0.0136986301369863,0.015410958904109588,0.0001889466225791214,7.974077980870854e-24,0.07476561657872649,0.18401069204,0.032995818965219664,-0.29751695818,-0.0503764187115
気持ちいい,1.0,0.00684931506849315,0.010273972602739725,0.0,4.928251221120321e-24,0.06796874234429769,0.180848671669,0.0011984305837205113,-0.297937443731,-0.0546376860322
削りたての鉛筆のように芯が細い,1.0,0.00684931506849315,0.010273972602739725,0.0,4.928251221120321e-24,0.06796874234429769,0.180848671669,0.0011984305837205113,-0.297937443731,-0.0546376860322
キャップがある,1.0,0.00684931506849315,0.07589635513766178,0.0,1.4721896750449229e-05,0.06805637826373698,0.191802795061,0.0643105174505751,-0.295775845172,-0.0167628644503
芯を仕舞わなくていい,1.0,0.0136986301369863,0.08466326084663262,0.009919697685403874,6.686870912752844e-05,0.07564197585252548,0.197331738872,0.10679588354381099,-0.294799704783,-0.0085452494219
芯が折れない,1.0,0.02054794520547945,0.09548251130221964,0.10845536136041568,0.0002890096842774235,0.08344157374330077,0.218036066883,0.20641404804445354,-0.289959359469,0.016663604125
経済的によい,2.0,0.0136986301369863,0.086180183773336,0.08247520075578649,6.727071125820473e-05,0.07725824568044248,0.376613255176,0.2110622003289493,0.703691202293,-0.0844927335829
芯の入れ替えが少ない,1.0,0.0136986301369863,0.1061502125649504,0.11421823334907888,0.001178582479567848,0.07659371053815414,0.218639894845,0.193699680839166,-0.289539622394,0.0232563955924
"楽, 便利",1.0,0.0136986301369863,0.11913143051019977,0.12168162494095418,0.0050643430493588016,0.07757373078314435,0.222858293237,0.21358622737816854,-0.288477320088,0.0352202621265
字が濃くなる,1.0,0.0136986301369863,0.11555391007445802,0.00127381514722091,0.027295913066716873,0.07905485608709997,0.206146187419,0.14569279808931987,-0.292006639359,0.0294235082674
勉強しやすい,2.0,0.0273972602739726,0.15705898797875315,0.1273120468467659,0.12437195211098856,0.10355649091037507,0.423282789687,0.4226751330975182,0.718153823286,0.0654188909398
思いっきり握れるグリップ,1.0,0.00684931506849315,0.10824037146215056,0.0,0.007092835179485839,0.06910743767077152,0.198548326563,0.09938819003828671,-0.294150576018,0.0075500676505
グリップがやわらかい,1.0,0.0136986301369863,0.09419694505457656,0.009919697685403874,0.0019218622719153842,0.07494590571933994,0.199113840145,0.11556199245045529,-0.294360318769,-0.00169149971526
指が痛くならない,1.0,0.0136986301369863,0.10778557998541882,0.019650448748228626,0.008306641261797575,0.07655048920343296,0.204331964889,0.13923481780099528,-0.292977584118,0.013053523583
長時間使用できる,2.0,0.02054794520547945,0.12554470490960692,0.038828530940009445,0.03580706823166336,0.0856372214948295,0.38439424513,0.2634666552305244,0.706120874383,-0.040157083783
９０分ぐらい,1.0,0.00684931506849315,0.10718510321669783,0.0,0.007883505464626678,0.069055898844529,0.198495637099,0.098575827510885,-0.294126289322,0.00755101392054
プラスチックより柔らかい,1.0,0.00684931506849315,0.0834695272338276,0.0,0.00042313579717089743,0.06798677104533055,0.193121458191,0.07161811070023186,-0.2954972051,-0.012085315917
中が透けて見える,1.0,0.00684931506849315,0.09828723385643556,0.0,0.003301226764033916,0.068175490931637,0.196102211103,0.08712612632790455,-0.294786778463,-0.00126964129119
芯の残りがわかる,1.0,0.0136986301369863,0.11350870812623753,0.009919697685403874,0.014994612560226377,0.07683311933160829,0.20482579464,0.14147216103702062,-0.292689483726,0.0198877922518
芯が多く入る,1.0,0.0136986301369863,0.11350870812623753,0.009919697685403874,0.014994612560226377,0.07683311933160829,0.20482579464,0.14147216103702062,-0.292689483726,0.0198877922518
芯が詰まらない,1.0,0.00684931506849315,0.11317485898468976,0.0,0.014267824425710895,0.0700155706087938,0.200717928181,0.10798317711344074,-0.293422674836,0.0161095607746
５本以上,1.0,0.00684931506849315,0.09828723385643556,0.0,0.003301226764033916,0.068175490931637,0.196102211103,0.08712612632790455,-0.294786778463,-0.00126964129119
色が黒くない,1.0,0.0136986301369863,0.015410958904109588,0.0001889466225791214,7.974077980870854e-24,0.07476561657872649,0.18401069204,0.032995818965219664,-0.29751695818,-0.0503764187115
ボールペンと間違えにくい,1.0,0.0136986301369863,0.015410958904109588,0.0001889466225791214,7.974077980870854e-24,0.07476561657872649,0.18401069204,0.032995818965219664,-0.29751695818,-0.0503764187115
ストレスが少ない,1.0,0.00684931506849315,0.010273972602739725,0.0,4.928251221120321e-24,0.06796874234429769,0.180848671669,0.0011984305837205113,-0.297937443731,-0.0546376860322
原色,1.0,0.00684931506849315,0.010273972602739725,0.0,4.928251221120321e-24,0.06796874234429769,0.180848671669,0.0011984305837205113,-0.297937443731,-0.0546376860322
かっこいい,1.0,0.00684931506849315,0.1293426959825026,0.0,0.05022346667976211,0.0736181366258573,0.210005602393,0.1414328290367591,-0.290077373788,0.0539409527302
小指より細い,1.0,0.00684931506849315,0.1293426959825026,0.0,0.05022346667976211,0.0736181366258573,0.210005602393,0.1414328290367591,-0.290077373788,0.0539409527302
グリップが固い,1.0,0.00684931506849315,0.14069269489870026,0.0,0.10480397240283999,0.07851581447318863,0.221810299474,0.17870123903183213,-0.285445712659,0.103683993368
材質が良い,1.0,0.0136986301369863,0.0136986301369863,9.44733112895607e-05,8.120038328342464e-27,0.07407205798337915,0.183593965261,0.030265132087092684,-0.297592538004,-0.0514720435593
高級感がある,1.0,0.00684931506849315,0.0091324200913242,0.0,8.120038328342464e-27,0.06789938648476436,0.180646853607,0.0,-0.297976516113,-0.0553052729665
木製,1.0,0.00684931506849315,0.0091324200913242,0.0,8.120038328342464e-27,0.06789938648476436,0.180646853607,0.0,-0.297976516113,-0.0553052729665
効率的,1.0,0.00684931506849315,0.0555659957469957,0.0,6.381297584001507e-08,0.06884569890954757,0.188543512256,0.045965669844758944,-0.296428369488,-0.0283972480756
グリップがある,1.0,0.00684931506849315,0.12235119890236731,0.0,0.021789096766747614,0.06898850003345601,0.203329685129,0.1178991370416142,-0.29257139479,0.027131161645
